,CoSIR_Ideal,CoSIR_approx,Dynamic_Intervention_0.8,Dynamic_Intervention_0.5,Constant beta,Real
0,450250.0,450250.0,450250.0,450250.0,450250.0,33062.0
1,535344.2551636781,450217.3655234951,432570.49333698256,407386.93628384575,572260.7209107333,34863.0
2,750593.355877488,607554.7751205071,415581.82236367086,368603.2664359966,727275.2479107276,37257.0
3,1146810.2498386118,819785.1669549841,399257.25248097413,333510.94297144545,924184.6792623699,39699.0
4,1641298.619871145,1105984.761216491,383571.06355480355,301758.79477048584,1174252.9676855137,42505.0
5,1788644.4729532225,1350086.7575516524,368498.5129880008,273029.02926543506,1491736.441856594,46437.0
6,1649179.9425445583,1349640.7652905877,354015.80001300207,247034.0652105959,1894656.6158068518,49400.0
7,1444587.880474512,1220979.7419413223,340100.0311749323,223513.66500856026,2405758.956552211,52987.0
8,1256873.419585269,1104574.0898110042,326729.18697469955,202232.33843840045,3053693.8652859665,56351.0
9,1117427.6039391693,999258.2382776197,313882.0896416189,182976.99224506487,3874457.6584857884,59695.0
10,1060234.3343312403,903977.1446283115,301538.3720051527,165554.80242636084,4913128.620689086,62808.0
11,1147627.1170296562,903590.0439799689,289678.44743548706,149791.2882145819,6225922.676612097,67161.0
12,1408115.727071124,1102589.1978624817,278283.4808228869,135528.5687129377,7882569.32947632,70768.0
13,1634690.7975099734,1345240.5140069674,267335.3605660293,122623.78492980887,9968962.901622722,74292.0
14,1634575.869601522,1485372.4960572652,256816.67153986933,110947.67157238761,12589964.950094488,78055.0
15,1500409.0026105344,1343581.4711053898,246710.66901394867,100383.26443020326,15872105.346971633,81997.0
16,1340763.2487213565,1215313.6425670516,237001.2534925085,90824.7305117302,19965733.428961687,85784.0
17,1207335.7854204618,1099281.4173106886,227672.9464482041,82176.30930609263,25045889.555243608,90648.0
18,1134146.9310373764,994319.4035222308,218710.8669217405,74351.35463804804,31310795.087541856,95698.0
19,1164278.0029166976,993604.819070431,210100.70896023654,67271.46757822273,38976419.171532765,100328.0
20,1331188.4598803557,1096853.4486972808,201828.71986769533,60865.711771396076,48265159.61786116,106475.0
21,1538862.9590637258,1337496.1761753284,193881.67924150315,55069.903362004785,59386462.37870308,112028.0
22,1602177.8795881944,1476204.7093010386,186246.87876946016,49825.96843579852,72507528.78515247,118226.0
23,1519750.3238295254,1474828.374587816,178912.1027624358,45081.361566785505,87713576.38529533,124794.0
24,1384780.3413115088,1333829.6494100816,171865.60939833135,40788.53966574504,104959869.27796714,131423.0
25,1258576.638511931,1206299.1628423992,165096.11265363442,36904.485876503175,124022007.99143538,138536.0
26,1178051.5050334353,1090952.5628040032,158592.7648994577,33390.27876423159,144455997.149727,144950.0
27,1179551.129706677,1089834.0387932404,152345.14013955978,30210.702491057873,165583359.55279234,150793.0
28,1294746.3848434875,1088682.10928651,146343.2178684425,27333.894082697814,186516034.11537522,158086.0
29,1475388.9884986882,1201194.0773072096,140577.3675282324,24731.02425961528,206228507.94221127,165386.0
30,1569777.9229604555,1325229.487189309,135038.33354364985,22376.008641025313,223670993.59422523,173491.0
31,1526372.9832801477,1323643.1820906918,129717.22091495169,20245.24643316284,237902184.72486547,181827.0
32,1413208.13998649,1196941.6817578461,124605.48134933534,18317.38398763222,248210642.2000362,190609.0
33,1294454.8589176247,1082358.8438807759,119694.89991186344,16573.100864040807,254195793.0657887,198370.0
34,1209968.097031869,978737.2715186643,114977.5821775385,14994.916255952523,255792480.86256245,207191.0
35,1193372.190063723,977484.2340409294,110445.94186672052,13567.013842704095,253240602.0548213,216824.0
36,1274519.2973767815,976205.0476549348,106092.68894663351,12275.0833138203,247015555.68145835,226713.0
37,1430004.5708147124,1076692.6946362422,101910.81818224445,11106.176979473426,237741210.98511243,236184.0
38,1539689.1996574383,1187440.5553224504,97893.59812033815,10048.580031311534,226105023.792615,246622.0
39,1526673.2491659669,1185737.7915946853,94034.56049111842,9091.693154527085,212788236.52495652,257486.0
40,1433256.574182632,1183996.669771358,90327.4900121829,8225.926315614344,198416640.9040512,265928.0
41,1322114.4813394237,1070518.538583864,114755.02805248095,10453.892253241806,183531635.92073897,276146.0
42,1235543.044269116,967908.9903430613,145786.20236620135,13285.275918064557,168578045.42459896,286605.0
43,1206187.1344050413,966427.3968727962,185204.75235966983,16883.493583489955,153904017.4577778,297535.0
44,1262578.253783643,964920.9834808973,235275.33589178,21456.210091108456,139768546.84488365,308993.0
45,1395834.7731640893,1063848.125085072,298872.64105143317,27267.315533860812,126353027.94964746,320922.0
46,1512084.766164471,1172836.062536524,379644.8228519015,34652.14082125193,113774266.46996082,332424.0
47,1523175.8734446086,1170862.8984979645,482220.1826193653,44036.78628655406,102097296.10321735,343091.0
48,1447953.4142745028,1168853.331151032,612468.1963240118,55962.67235797767,91347058.49331078,354065.0
49,1344613.6282114761,1056695.5546459842,777828.6429647835,71117.71861931405,81518505.77750057,366946.0
50,1257221.4807651655,955292.5906112524,987725.7275117757,90375.9335239005,72585008.02871642,380532.0
51,1218319.142485372,863614.5002041435,1254087.740473264,114847.67173753651,64505137.73610662,395048.0
52,1255567.8165104268,862068.9937607909,1591996.8798501461,145943.41445432123,57228001.57855804,410451.0
53,1369243.5026530025,950127.3062845131,2020498.177509927,185454.68053369303,50697328.93155615,425282.0
54,1486783.0384255783,1047115.6022455777,2563600.58179133,235656.61984258043,44854530.53113175,440215.0
55,1517122.8144618329,1153925.5091713779,3251506.319592967,299438.0186857661,39640925.54849311,456183.0
56,1458825.9487119133,1151676.3663763362,4122105.2294875067,380465.9117570225,34999311.25958478,473105.0
57,1363508.1352383576,1041045.5950577189,5222766.370809162,483393.8029651514,30875022.70805038,490401.0
58,1276256.1281325433,941034.9807235266,6612445.936324314,614124.70947811,27216603.729033776,508953.0
59,1229974.7795097074,850626.3271082051,8364102.2575485855,780142.917148395,23976187.1721567,528859.0
60,1251811.1185791234,848907.0413750889,10567356.53467792,990931.5137778409,21109661.836379733,548318.0
61,1348126.2626494719,935296.0323114623,10126816.083187819,896447.4211163947,18576686.609116796,566840.0
62,1463577.2892881962,1030413.5380470015,9702830.546084058,810966.9546062152,16340598.371482654,585481.0
63,1509230.9693291213,1135128.0095561726,9294936.251218755,733633.1020669625,14368249.0302405,604641.0
64,1466742.7343181954,1132655.6989982151,8902667.874458406,663670.2506093786,12629798.159233097,625544.0
65,1379678.6715778622,1130151.7116697214,8525560.152912313,600376.4872545659,11098480.783070644,648315.0
66,1293358.318667571,1021454.9585167806,8163149.420940783,543116.6219981149,9750364.454888811,673165.0
67,1241283.644827819,923205.7088525025,7814974.980535531,491315.8665957861,8564105.65718842,697413.0
68,1250365.5515234517,921110.0959815664,7480580.317388545,444454.10831374675,7520712.428660308,719664.0
69,1331170.520455988,918994.7428379102,7159514.173625082,402060.7233557991,6603317.775275029,742417.0
70,1442294.9245112704,1012093.4158370179,6851331.487786874,363709.87968696473,5796966.686485937,767296.0
71,1499970.9538367456,1114549.9727015204,6555594.212223166,329016.2835505497,5088418.307780999,793802.0
72,1472244.3965605854,1111859.8681247437,6271872.017592705,297631.3281566049,4465963.908713197,820916.0
73,1393660.7332874776,1109140.594374634,5999742.893706174,269239.6068342169,3919260.644393333,849522.0
74,1308959.8139707684,1002346.850457955,5738793.655454512,243555.7564172428,3439180.6708559967,878254.0
75,1252325.9812170637,905829.1864679279,5488620.362080533,220321.5998004736,3017674.888600657,906752.0
76,1250652.0276238865,903561.2466074353,5248828.657564638,199303.5594861646,2647650.4139404246,936181.0
77,1317506.172529791,901275.4458028984,5019034.039414945,180290.3165635127,2322860.784014113,968857.0
78,1422799.7947957788,992232.0879033931,4798862.062680791,163090.69194797814,2037807.865276531,1003832.0
79,1489685.5188570602,1092297.561771181,4587948.485550855,147531.7288740542,1787654.4395489106,1039084.0
80,1475694.2355549282,1089409.084663253,4385939.362453646,133456.95760307688,1568146.4732714812,1077781.0
81,1405797.0000682778,1086494.0573402334,4192491.090151989,120724.82509446255,1375544.124826351,1118206.0
82,1323334.289112277,981767.8349009278,4007270.4119147514,109207.27401049051,1206560.604642712,1155338.0
83,1263149.808060536,887129.7881317773,3829954.384460544,98788.45689612046,1058308.0681712625,1193078.0
84,1252288.8031984821,884705.6735696236,3660230.31199799,89363.5727099606,928249.7891079182,1238798.0
85,1306526.3913170674,882265.6472855454,3497795.651338312,80837.81409271773,814157.9269534562,1288108.0
86,1404983.61772206,970971.5708592251,3342357.891725941,73125.41485664819,714076.2674318905,1337024.0
87,1478645.0235996498,1068528.8684473874,3193634.412723275,66148.78817399191,626287.375378608,1385635.0
88,1477354.2377381658,1065462.1558625917,3051352.323194887,59837.74684359051,549283.6568131509,1435616.0
89,1416315.4295368826,1062371.5876306791,2915248.284165188,54128.79783142519,481741.8797119663,1480073.0
90,1336659.9802520932,959862.5165257768,2785068.318069798,48964.50402054779,422500.75139854994,1531669.0
91,1273781.6575260812,867238.6173529715,2660567.6066855835,44292.9067759047,370541.1945315306,1581963.0
92,1255008.9825503596,864674.9811051197,2541510.2798049417,40067.00353639077,324969.0035581025,1634746.0
93,1297789.1671539554,862097.425643237,2427669.19651757,36244.275195995186,284999.5994381885,1695988.0
94,1388757.053917749,948458.5636675986,2318825.720775175,32786.25853348824,249944.63269926503,1750723.0
95,1467074.729359718,1043406.7510936029,2214769.492741826,29658.159400602588,219200.21373613345,1803695.0
96,1477426.8448022834,1040182.38466832,2115298.1972732893,26828.502786514615,192236.57501159867,1855745.0
97,1425372.643636858,1036936.898017113,2020217.3307222382,24268.816245633145,168588.99272517615,1908254.0
98,1349054.0485565027,1033670.6526800564,1929339.9671320312,21953.3435098964,147849.81586834276,1964536.0
99,1284232.8829453713,933814.5251402978,1842486.5247586374,19858.785409270014,129661.46863161492,2027074.0
100,1258616.6765342073,930833.5413894696,1759484.5337480658,17964.06549790719,113710.30810852544,2088611.0
101,1290960.6896911343,927837.196633745,2199134.3812923427,22809.19408816357,99721.23337328977,2153010.0
102,1374043.2763219597,1020414.7145468912,2747815.3274506372,28961.019488148737,87452.95449274177,2215074.0
103,1455169.651876803,1122155.1828324392,3432103.1957256026,36771.891173501695,76693.84105082057,2268675.0
104,1476078.8560985364,1118411.2442902522,4284792.335690236,46689.134173303944,67258.27947973231,2329638.0
105,1433079.5884226179,1114643.915543746,5346205.7231418565,59280.62816154433,58983.47705368541,2396637.0
106,1360593.289542425,1110853.643786031,6665698.981334496,75267.26242065628,51726.65794125981,2461190.0
107,1294504.225809002,1003414.4323984995,8303337.639743827,95564.10690794888,45362.60334935739,2525922.0
108,1262961.7025400822,999956.7754289577,10331688.93133342,121332.62722649862,39781.49363080609,2589952.0
109,1285780.7315161338,996482.3687427389,12837608.907292308,154046.88501734298,34887.01536284449,2647663.0
110,1360773.4424984741,992991.5734736242,15923814.233818255,195577.4359040363,30594.70091818443,2702681.0
111,1443101.8982884635,1091599.3696939063,19709897.085255943,248297.60169747993,26830.472017923876,2767253.0
112,1473455.8594424606,1087693.9097878835,24332265.162503008,315217.99598398124,23529.362241582516,2836925.0
113,1439517.51609793,1083768.5349912723,29942269.95228801,400156.6730815707,20634.396531680042,2905825.0
114,1371326.6941244896,1079823.6893965465,36701547.08414361,507954.10576352826,18095.60841956196,2975701.0
115,1304588.523679626,1075859.8164582355,44773389.88801249,644744.4353465507,15869.178060568123,3044940.0
116,1267924.65793001,1071877.3589048223,54308920.39540533,818297.1319850904,13916.676239792912,3106348.0
117,1282040.474520064,1067876.7586517446,65427084.322256684,1038446.3881781134,12204.401329533688,3167323.0
118,1348882.700575981,1063858.4567156178,78188300.44364767,1317629.2372481057,10702.797776821244,3224547.0
119,1431024.4709280524,1169041.908524506,92563141.39864682,1671557.4507786923,9385.946101241465,3310234.0
120,1469691.4992311718,1284527.756554691,108399740.40933378,2120052.484850286,8231.115613401627,3387500.0
121,1444749.2646107837,1279522.05509541,100790890.7876414,1917221.8519582998,7218.37214380273,3463972.0
122,1381284.305566857,1274489.0580692468,93576263.94020636,1733772.3099061353,6330.234018953627,3542733.0
123,1314472.8003607828,1269429.4337865883,86759037.98135997,1567856.3541743453,5551.370352478501,3621245.0
124,1273407.1865898683,1264343.8494088491,80337354.13044272,1417801.7870098897,4868.3364479292695,3691166.0
125,1279568.6031313313,1259232.9707937925,74305239.46276371,1282095.2304145899,4269.341749502757,3769523.0
126,1338309.8893420144,1254097.4623430814,68653431.01277417,1159367.1625936823,3744.0463378340296,3853406.0
127,1419073.7926556608,1377421.2699862067,63370101.01811732,1048378.3421007205,3283.3824601162914,3936747.0
128,1464912.1662508494,1512737.869441193,58441486.57561037,948007.4950726879,2879.3980154297387,4023179.0
129,1448825.5572250194,1506330.08834154,53852429.3313397,857240.1513726629,2525.119294762293,4113811.0
130,1390482.2559083092,1499884.720383455,49586832.28345867,775158.5251564876,2214.4306072811632,4204613.0
131,1324139.5840218135,1493402.7713713858,45628041.5459407,700932.3443747044,1941.9687156762634,4280422.0
132,1279326.3257764746,1486885.2451072515,41959161.180674806,633810.5420382301,1703.030258857089,4370128.0
133,1278221.429987439,1480333.143118311,38563309.09860144,573113.7297474022,1493.4905643391612,4465863.0
134,1328994.548117357,1473747.4643894401,35423821.67380248,518227.3810438922,1309.732449164395,4562414.0
135,1407370.3661779817,1617748.6305402012,32524414.19774007,468595.65862947644,1148.5837805446838,4659984.0
136,1459240.9227288037,1775635.2713949566,29849303.692682996,423715.82544181205,1007.2627185702646,4754356.0
137,1451791.0355415724,1767407.97672259,27383299.954387728,383133.18502159417,883.3296958880312,4846427.0
138,1398927.3476083505,1759129.9101344068,25111870.040555995,346436.5015835475,774.6453055152135,4930236.0
139,1333567.8350106531,1750802.5811240352,23021180.788399108,313253.85475029744,679.3333699150172,5020359.0
140,1285609.7562349937,1742427.495415995,21098123.348039687,283248.88805633364,595.7485538808764,5118253.0
141,1277876.082279957,1734006.1544933242,19330323.16814523,256117.4141103419,522.4479621971815,5214677.0
142,1320877.7663014466,1725540.0551339078,17706138.370980557,231584.3427479966,458.1662318190382,5308014.0
143,1396020.1067677902,1892881.2124041563,16214649.007407526,209400.90164139215,401.79368862828903,5400619.0
144,1452798.8142692489,2076198.4196876483,14845639.287300808,189342.12168189345,352.3571917181033,5487580.0
145,1453687.5160477797,2065614.2738078986,13589574.534866005,171204.5620441868,309.0033345463768,5562663.0
146,1406619.8127266767,2054963.0139276464,12437574.31797299,154804.2521933005,270.98371297956004,5646010.0
147,1342733.8907844245,2044246.894992525,11381382.941862494,139974.8302338952,237.6420059250702,5732518.0
148,1292193.4157489396,2033468.164541966,10413338.276270866,126565.8589413319,208.40264553792588,5818570.0
149,1278425.9606938767,2022629.0619028716,9526339.696983788,114441.3025744505,182.7608814254945,5903932.0
150,1313900.949926981,2011731.8174003994,8713815.764085067,103478.14916672629,160.27406733683418,5992532.0
151,1385114.0476878793,2205113.392994629,7969692.125977481,93565.16444032919,140.55401992526743,6074702.0
152,1445705.2763654415,2416742.62875102,7288360.02719707,84601.76480006773,123.26031767877706,6145291.0
153,1454556.7117670104,2403117.4204737144,6664645.706021613,76496.99805365982,108.09442434192512,6225763.0
154,1413555.6280578545,2389405.7125607133,6093780.892132555,69168.6215824936,94.79453538541131,6312584.0
155,1351612.0805040512,2375610.8504971364,5571374.552683748,62542.26866334228,83.13105856071762,6394068.0
156,1299019.4649347523,2361736.165037895,5093385.984927438,56550.69452574683,72.90265052299037,6473544.0
157,1279777.1414074001,2347784.970859714,4656099.3131879335,51133.09453054482,63.93274110430665,6549373.0
158,1308006.4749662087,2333760.5652468666,4256099.415855524,46234.487580049994,56.066485237451,6623815.0
159,1374729.8586591817,2319666.2268111105,3890249.2828187193,41805.158526789426,49.16808991259128,6685082.0
160,1438077.9595639738,2540108.9180159997,3555668.7841859865,37800.15394186624,43.11847002321551,6757131.0
161,1454442.2721861624,2524333.4389841063,3939277.2757840483,47903.80945443451,37.813192635127635,6835655.0
162,1419728.5007381297,2508476.366055464,4362597.843855222,60707.67418329742,33.160674191200634,6906151.0
163,1360175.1129375626,2492541.660762624,4829359.4471624065,76933.13200603532,29.08059953089509,6979423.0
164,1306034.5771029114,2476533.257701694,5343553.85041266,97494.13977183793,25.50253543263633,7053806.0
165,1281845.903083157,2460455.0629944718,5909433.409695587,123548.54311512395,22.364714745109847,7120538.0
166,1303137.171113528,2444310.952799477,6531502.769477023,156563.01122860578,19.612970118339497,7175880.0
167,1364931.779826505,2428104.77187202,7214502.934959293,198395.1713991513,17.19979892789677,7239389.0
168,1430033.2657041887,2656467.93013484,7963385.967260799,251397.4451799678,15.083543250324722,7307097.0
169,1453391.5923245104,2638380.96333644,8783278.339381536,318548.23357369314,13.227670733949394,7370468.0
170,1425131.1271072042,2620221.712749487,9679430.80468208,403617.51544936944,11.600143950972218,7432680.0
171,1368394.3903314814,2601994.7850077087,10657152.488827873,511375.66327674984,10.17286734415884,7494551.0
172,1313188.837997066,2583704.7437696797,11721726.849723727,647856.3962295577,8.92120222092985,7550273.0
173,1284556.4367766748,2565356.108042107,12878307.193961557,820687.3304685473,7.823541422339005,7597063.0
174,1299236.5439320442,2546953.350570483,14131789.635910863,1039504.5794682946,6.8609363245731565,7651107.0
175,1355771.4976473465,2528500.89629717,15486661.786067167,1316471.292447502,6.0167697340082285,7706946.0
176,1421684.0482629049,2763725.3042277335,16946826.11159055,1666923.8064873114,5.276469029101772,7761312.0
177,1451456.1677735464,2743190.883924929,18515397.876530904,2110172.996966602,4.627254597171887,7814682.0
178,1429756.6972654874,2722598.58444677,20194478.887448482,2670491.970230565,4.0579192233972625,7864811.0
179,1376240.7872742414,2701953.662113194,21984909.971404053,3378323.5856816806,3.5586346236924644,7909959.0
180,1320435.36673818,2681261.3100888333,23886007.199587323,4271740.927630292,3.1207817816890424,7946429.0
181,1287839.814354471,2660526.6566551225,21663999.02329066,3860230.678610968,2.73680216097685,7990322.0
182,1296249.2947945045,2639754.7635717145,19643594.20765168,3488265.1411352954,2.4000672241233634,8040203.0
183,1347289.7031258405,2618950.6245265263,17807432.21001332,3152062.1141882283,2.1047640060137907,8088851.0
184,1413139.4862935015,2859826.0602140594,16139474.849486342,2848197.84135269,1.845794766195613,8137119.0
185,1448692.2993347133,3122291.0673416588,14624938.86365702,2573573.6502190777,1.6186889879536481,8184082.0
186,1433599.9276280762,3096686.9662237098,13250224.763641825,2325385.5831775106,1.4195262049793453,8229313.0
187,1383684.6535183906,3071025.943590899,12002844.042553818,2101096.772816955,1.2448683234122098,8267623.0
188,1327729.1397011545,3045315.223690293,10871346.323237626,1898412.3313190704,1.0917002709470354,8313876.0
189,1291632.374911967,3019561.9263784466,9845247.647095364,1715256.539226715,0.9573779484485668,8364086.0
190,1294120.9610068395,2993773.0647346517,8914960.793834189,1549752.1345537303,0.8395825855763739,8411724.0
191,1339515.847080348,2967955.542827943,8071728.270455479,1400201.5182185823,0.7362807124733558,8462080.0
192,1404504.0087895454,3237233.8256500745,7307558.406737804,1265069.7061149897,0.6456890565199938,
