,CoSIR_Ideal,CoSIR_approx,Dynamic_Intervention_0.8,Dynamic_Intervention_0.5,Constant beta,Real
0,356250.0,356250.0,356250.0,356250.0,356250.0,17799.0
1,306190.2642034846,356031.2907176212,342116.0440516706,322252.37119981606,452181.5465239783,19224.0
2,251567.46206677638,322036.611676096,328520.3563499201,291491.85383665457,573552.0143282609,20739.0
3,206149.805158622,291280.4881444108,315444.23686513584,263661.56299554784,726867.9236322534,22088.0
4,168870.37319624776,263455.73143125535,302869.4887279175,238483.4626805504,920155.3922600624,23471.0
5,138343.8805750581,238284.04662699043,290778.4173620157,215705.69859418934,1163227.7230945656,24905.0
6,113403.21535818701,215513.35961071926,279153.82825175155,195100.1692698804,1467945.6455327154,26025.0
7,93186.51172151338,194915.3830943481,267979.02349034284,176460.31579784502,1848428.6300217381,27634.0
8,77472.08147554597,176283.401868672,257237.7972447926,159599.11172630824,2321149.143685518,29616.0
9,68472.49925279267,159430.2587653338,246914.4302627617,144347.23603129518,2904806.2896821746,31522.0
10,75827.7778088308,159270.8542824417,236993.68353715842,130551.41331549459,3619833.033797126,33460.0
11,109213.47942769933,214396.56739798165,227460.79123506488,118072.90660908718,4487350.045569273,35022.0
12,153414.98180411253,288480.6839518225,218301.4529890272,106786.1492965265,5527356.835116909,36327.0
13,166109.5006563264,351316.8637764353,209501.82564064363,96577.50377901892,6755978.612207996,38324.0
14,153108.04894080837,350749.17038491205,201048.51451883765,87344.13550111018,8181708.914128311,40186.0
15,134254.93811695234,317100.0002265493,192928.56432809896,78992.99192112718,9800847.073026815,42595.0
16,117004.2219474037,286671.8962563992,185129.44971535698,71439.87689027171,11592737.208345197,45032.0
17,104300.77608840195,259157.81715108975,177639.06557797338,64608.611725782874,13515900.935654508,47144.0
18,99393.12372680604,234279.75212631418,170445.7171696061,58430.27502230101,15506526.284089316,49219.0
19,108096.71657329286,233837.953078797,163538.1100553168,52842.51394528819,17480739.928184863,51633.0
20,132471.9030733256,284463.8929687975,156905.33996236726,47788.92039428124,19341403.95933093,54346.0
21,152719.20760523665,345927.87018397666,150536.88256852323,43218.466015190905,20988872.02690452,56594.0
22,152057.7002358755,380955.466287649,144422.58326544802,39084.99058318708,22333662.20563846,59567.0
23,139428.69609863564,344274.4470137108,138552.6469308216,35346.73877426412,23308076.166715305,62527.0
24,124654.28159700998,311117.0296342581,132917.62773920142,31965.940797641364,23873967.249383353,65856.0
25,112433.8905637415,281146.2604109926,127508.4190382956,28908.432775871854,24025103.549658913,68620.0
26,105950.12978743679,254057.12683797663,122316.24331425184,26143.31313792921,23784269.237101752,71105.0
27,109247.74257190275,253376.89075946977,117332.64226673164,23642.631635482197,23196616.595671058,74560.0
28,125169.74290185126,278857.81684048247,112549.46701196203,21381.10790675839,22321355.443374626,78023.0
29,144132.65718053948,338597.48404511996,107958.8684295827,19335.876798365556,21223662.6648589,81400.0
30,149334.14666651966,372462.1795247816,103553.28766694064,17486.257915555303,19968046.60952665,84627.0
31,141338.3252574983,371251.5596712901,99325.44681251103,15813.547107874923,18613683.25472196,87512.0
32,128751.15055076151,335359.9436977302,95268.3397483196,14300.827812000025,17211690.763306063,90664.0
33,117137.7413598295,302930.39635887387,91375.22318961039,12932.80036865828,15803998.654298658,93435.0
34,109906.85411339863,273630.41621032613,87639.60791851112,11695.627607677174,14423361.63439514,97326.0
35,110462.10461757322,272673.571122379,84055.25021711261,10576.795155920414,13094091.741380598,101238.0
36,121606.64132115575,299722.1571284909,80616.14350415352,9564.985068681846,11833166.844615383,105680.0
